1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.046739	0.000000	174.823820	0.004959	276.9
1	-0.046797	0.000000	174.823820	0.003330	68.7
2	-0.048550	0.000000	174.823820	0.006984	68.1
3	-0.046477	1.000000	166.877283	0.016524	67.6
4	-0.014846	2.000000	159.621749	0.025048	73.5
5	-0.026423	3.000000	152.970843	0.027822	69.9
6	-0.009694	4.000000	146.852009	0.023778	73.2
7	-0.041170	5.000000	141.203855	0.017400	70.8
8	-0.042314	6.000000	135.974082	0.016104	68.9
9	-0.041136	7.000000	131.117865	0.020132	69.4
10	-0.028267	8.000000	126.596560	0.021001	70.6
11	-0.044522	9.000000	122.376674	0.020600	74.0
12	-0.032300	10.000000	118.429040	0.022209	67.8
13	-0.045073	11.000000	114.728132	0.021483	67.9
14	-0.039593	12.000000	111.251522	0.019842	71.3
15	-0.048313	13.000000	107.979418	0.019134	73.8
16	-0.039995	14.000000	104.894292	0.017085	68.7
17	-0.050661	15.000000	101.980562	0.016156	70.3
18	-0.044179	16.000000	99.224330	0.014874	70.6
19	-0.052315	17.000000	96.613164	0.009836	67.8
20	-0.051221	18.000000	94.135903	0.006167	72.2
21	-0.050525	19.000000	91.782506	0.001884	70.9
22	-0.055659	20.000000	89.543908	0.003037	70.4
23	-0.056284	19.200000	91.325876	0.003533	69.8
24	-0.055890	20.200000	89.109229	0.003871	69.7
25	-0.056818	21.200000	86.997636	0.004148	70.7
26	-0.053243	22.200000	84.983802	0.003709	71.0
27	-0.054751	23.200000	83.061091	0.003134	69.5
28	-0.054985	24.200000	81.223456	0.002088	70.7
29	-0.054029	25.200000	79.465373	0.001894	68.7
30	-0.055234	24.400000	80.865644	0.001574	68.0
31	-0.054575	25.400000	79.122850	0.002587	72.1
32	-0.055894	26.400000	77.453591	0.001805	68.4
33	-0.056458	27.400000	75.853310	0.002243	69.8
34	-0.053053	28.400000	74.317818	0.001353	70.6
35	-0.054791	29.400000	72.843258	0.002295	69.3
36	-0.053790	28.600000	74.018150	0.002620	67.1
37	-0.058340	27.800000	75.231562	0.001316	69.6
38	-0.054671	28.792908	73.731388	0.002297	69.7
39	-0.054482	29.792908	72.279780	0.001721	68.2
40	-0.054787	28.992908	73.436421	0.002315	68.5
41	-0.053127	28.192908	74.630681	0.001779	71.3
42	-0.058274	29.192908	73.143804	0.002557	76.2
43	-0.058638	30.192908	71.715016	0.002180	69.9
44	-0.053908	31.192908	70.340978	0.001156	66.9
45	-0.054123	30.392908	71.435931	0.003702	68.3
