1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.036970	0.000000	63.002358	0.008557	269.2
1	-0.036983	0.000000	63.002358	0.012436	75.9
2	-0.035801	0.000000	63.002358	0.024526	74.3
3	-0.030670	1.000000	60.138615	0.020674	79.2
4	-0.043610	2.000000	57.523892	0.007704	72.4
5	-0.048705	3.000000	55.127064	0.005902	72.5
6	-0.047718	2.200000	57.027997	0.003444	74.8
7	-0.047522	1.400000	59.064711	0.002216	73.4
8	-0.048526	0.600000	61.252293	0.001432	75.5
9	-0.051940	0.000000	63.002358	0.002878	74.4
10	-0.047634	0.000000	63.002358	0.003652	71.0
11	-0.046973	1.000000	60.138615	0.003638	74.9
12	-0.043339	2.000000	57.523892	0.002981	70.5
13	-0.048790	3.000000	55.127064	0.003574	73.9
14	-0.045776	4.000000	52.921981	0.004410	70.8
15	-0.048038	5.000000	50.886520	0.003389	70.4
16	-0.045123	6.000000	49.001834	0.003719	78.8
17	-0.045886	7.000000	47.251769	0.003322	70.0
18	-0.045458	8.000000	45.622397	0.001712	74.1
19	-0.047334	9.000000	44.101651	0.001064	75.4
20	-0.048574	10.000000	42.679017	0.001430	72.9
21	-0.049100	11.000000	41.345298	0.001353	72.0
22	-0.043818	12.000000	40.092410	0.002512	71.3
23	-0.049067	13.000000	38.913221	0.002807	70.5
24	-0.046955	14.000000	37.801415	0.001853	74.3
25	-0.046845	15.000000	36.751376	0.002112	71.6
26	-0.050304	16.000000	35.758095	0.002648	72.4
27	-0.050901	17.000000	34.817093	0.002536	73.6
28	-0.050201	18.000000	33.924347	0.001559	78.2
29	-0.044532	19.000000	33.076238	0.001523	70.1
30	-0.050729	18.200000	33.751263	0.000867	72.2
31	-0.048728	17.516775	34.349956	0.001360	70.1
32	-0.048769	16.716775	35.078544	0.001198	74.3
33	-0.045544	15.916775	35.838709	0.002278	68.0
34	-0.048569	16.916775	34.893515	0.001465	76.5
35	-0.049376	17.916775	33.996896	0.001786	72.7
36	-0.044797	18.916775	33.145201	0.001340	72.4
37	-0.047747	19.912519	32.338501	0.001254	71.1
38	-0.046805	19.112519	32.983456	0.002619	70.9
39	-0.050750	18.312519	33.654662	0.001746	70.7
40	-0.048995	19.312519	32.819818	0.001189	74.6
41	-0.047551	20.312519	32.025390	0.001734	69.0
42	-0.045910	21.312519	31.268512	0.001401	70.1
43	-0.047357	22.312519	30.546585	0.001167	69.6
44	-0.046805	21.512519	31.121410	0.000620	73.5
45	-0.048005	20.712523	31.718281	0.001605	68.1
46	-0.044639	19.912523	32.338497	0.001296	74.6
47	-0.044085	20.912523	31.566926	0.001864	68.3
48	-0.047479	21.912523	30.831315	0.000704	71.6
49	-0.044506	22.906972	30.133017	0.000994	71.9
50	-0.045519	22.106972	30.692240	0.001811	71.5
51	-0.050632	23.106972	29.996381	0.001487	74.4
52	-0.047509	24.106972	29.331375	0.000965	73.9
53	-0.049736	23.306972	29.860978	0.002024	71.4
54	-0.044856	24.306972	29.201897	0.001524	70.9
55	-0.045713	23.506972	29.726792	0.000820	73.8
56	-0.047184	22.706972	30.270903	0.001343	71.8
57	-0.049223	21.906982	30.835297	0.000374	70.2
58	-0.049631	22.906982	30.133010	0.001208	73.6
59	-0.046608	22.106982	30.692233	0.001217	71.6
60	-0.048257	21.306982	31.272604	0.000936	71.9
61	-0.048667	22.306982	30.550490	0.001200	75.7
62	-0.050071	22.010679	30.760954	0.000989	75.1
63	-0.046366	21.210679	31.343953	0.001413	70.7
64	-0.045821	20.410679	31.949477	0.001849	69.3
65	-0.048213	21.410679	31.196141	0.001229	67.7
66	-0.047284	22.410673	30.477517	0.001710	76.9
67	-0.045720	21.610673	31.049722	0.001446	70.8
68	-0.045233	22.610673	30.337746	0.001197	69.9
69	-0.047372	23.610673	29.657690	0.000702	75.7
70	-0.048837	22.810673	30.199251	0.001086	71.1
71	-0.048348	22.737576	30.249722	0.001357	69.2
72	-0.042617	21.967706	30.791719	0.002224	72.7
73	-0.049744	22.967706	30.091393	0.000801	74.2
74	-0.047504	23.967706	29.422215	0.002010	73.1
75	-0.048334	23.167706	29.955133	0.001829	73.4
76	-0.046066	24.022549	29.386375	0.002462	74.5
77	-0.049349	23.222549	29.917984	0.001013	72.4
78	-0.049165	22.422549	30.469181	0.001489	72.2
79	-0.048321	23.422549	29.783287	0.001018	73.9
80	-0.048278	24.422549	29.127593	0.000310	73.0
81	-0.047227	23.640928	29.637590	0.001678	70.8
82	-0.046445	22.840928	30.178410	0.001438	72.0
83	-0.046009	23.840928	29.505400	0.001621	71.9
84	-0.047229	23.157171	29.962280	0.001273	75.7
85	-0.046394	22.357171	30.515126	0.001194	71.5
86	-0.047563	22.925514	30.120297	0.000940	72.8
87	-0.050052	22.125514	30.679044	0.001225	72.0
88	-0.048977	23.125514	29.983776	0.000762	74.9
89	-0.048053	22.334501	30.531089	0.001195	72.3
90	-0.047524	23.334501	29.842436	0.000892	72.7
91	-0.048087	24.334501	29.184164	0.002061	73.0
92	-0.046064	23.534501	29.708417	0.000994	74.3
93	-0.048473	24.534501	29.055979	0.000636	72.8
94	-0.046187	23.748312	29.566468	0.001431	71.4
95	-0.045943	24.748312	28.920182	0.001017	72.4
96	-0.046930	25.748312	28.301546	0.000709	72.5
97	-0.046624	24.948312	28.794301	0.001817	72.8
98	-0.046110	24.148312	29.304518	0.001533	74.6
99	-0.042698	23.348312	29.833143	0.001172	71.9
100	-0.047814	24.348312	29.175276	0.000629	70.1
101	-0.047000	23.548312	29.699206	0.000831	74.1
102	-0.047574	22.748312	30.242299	0.001458	72.9
103	-0.041582	21.948312	30.805623	0.001532	75.3
104	-0.047214	22.948312	30.104672	0.001195	71.5
105	-0.044681	23.948312	29.434910	0.001484	74.1
106	-0.047445	23.148312	29.968292	0.001818	71.8
107	-0.046800	24.148312	29.304518	0.001360	72.9
108	-0.045124	25.148312	28.669510	0.001188	72.5
109	-0.049352	24.348312	29.175276	0.001138	71.7
110	-0.050229	23.548312	29.699206	0.001582	73.7
111	-0.047720	22.748312	30.242299	0.001710	69.9
112	-0.050570	21.948312	30.805623	0.002297	74.1
113	-0.046565	21.148312	31.390332	0.002142	74.4
114	-0.045251	20.348312	31.997667	0.002060	74.5
115	-0.048367	19.548312	32.628966	0.002846	72.4
116	-0.049066	18.748312	33.285678	0.002082	70.6
117	-0.045874	17.948312	33.969367	0.002049	75.3
118	-0.049586	17.148312	34.681731	0.002682	71.4
119	-0.045162	16.348312	35.424613	0.003992	72.1
120	-0.047384	15.548312	36.200017	0.003292	72.5
121	-0.045283	14.748312	37.010125	0.003020	72.4
122	-0.048500	13.948312	37.857322	0.003021	73.4
123	-0.052103	13.148312	38.744214	0.003056	70.7
124	-0.048763	12.348312	39.673658	0.003390	72.3
125	-0.051024	11.548312	40.648790	0.003878	72.9
126	-0.048756	10.748312	41.673066	0.004964	70.0
127	-0.055019	9.948312	42.750296	0.004847	75.1
128	-0.053578	9.148312	43.884696	0.004644	72.5
129	-0.057981	8.348312	45.080941	0.005315	71.2
130	-0.052770	7.548312	46.344229	0.004633	75.7
131	-0.056841	6.748312	47.680360	0.004228	68.5
132	-0.056895	5.948312	49.095821	0.004594	69.5
133	-0.060449	5.148312	50.597893	0.004741	69.9
134	-0.058755	4.348312	52.194777	0.005522	73.3
135	-0.063982	3.548312	53.895743	0.005619	67.4
136	-0.062523	2.748312	55.711307	0.004642	68.7
137	-0.067750	2.429563	56.469237	0.005147	71.7
138	-0.063025	3.429563	54.157724	0.003561	70.7
139	-0.064791	4.429563	52.028009	0.003428	71.9
140	-0.066843	5.429563	50.059456	0.002262	71.6
141	-0.063108	4.629563	51.622009	0.002006	70.7
142	-0.068048	3.829563	53.285253	0.002679	66.6
143	-0.070572	3.029563	55.059243	0.003012	70.0
144	-0.066559	4.029563	52.859474	0.002011	67.3
145	-0.070191	5.029563	50.828726	0.001666	72.0
146	-0.068854	4.229563	52.440446	0.001191	66.7
147	-0.067719	3.429563	54.157724	0.002436	66.5
148	-0.069302	4.429563	52.028009	0.002495	71.4
149	-0.070283	5.429563	50.059456	0.002003	68.6
150	-0.068858	6.429563	48.234437	0.002259	71.2
151	-0.066022	7.429563	46.537808	0.001162	70.3
152	-0.068716	8.429563	44.956479	0.001178	70.3
153	-0.067298	9.429563	43.479084	0.001604	71.5
154	-0.062742	10.429563	42.095703	0.001500	69.6
155	-0.068745	11.429563	40.797637	0.001508	68.4
156	-0.067025	12.429563	39.577231	0.001834	68.9
157	-0.066297	13.429563	38.427718	0.001488	72.1
158	-0.070677	14.429563	37.343095	0.000996	71.0
159	-0.067467	13.629563	38.205782	0.001148	70.5
160	-0.068450	14.629563	37.133476	0.001016	70.7
161	-0.066719	15.629563	36.119719	0.001629	70.4
162	-0.067712	16.629563	35.159843	0.001373	71.0
163	-0.069159	15.829563	35.923574	0.000718	71.1
164	-0.065581	15.058384	36.691870	0.001313	69.4
165	-0.067477	16.058384	35.701760	0.001188	65.4
166	-0.067909	17.058384	34.763681	0.001699	73.6
167	-0.065783	18.058384	33.873637	0.000982	65.9
168	-0.065993	19.058384	33.028030	0.001390	70.3
169	-0.069759	20.058384	32.223614	0.001526	67.4
170	-0.065182	19.258385	32.863949	0.001983	71.2
171	-0.067695	20.258385	32.067410	0.001415	67.3
172	-0.066797	21.258385	31.308568	0.002231	69.0
173	-0.066388	22.258385	30.584811	0.002475	66.8
174	-0.070567	23.258385	29.893760	0.002015	69.5
175	-0.070375	24.258385	29.233247	0.001659	69.8
176	-0.069269	25.258385	28.601291	0.001049	70.5
177	-0.067147	26.258385	27.996080	0.000777	67.9
178	-0.069349	27.258385	27.415951	0.001385	70.2
179	-0.066147	26.458385	27.878098	0.000343	67.3
180	-0.066193	25.658385	28.356094	0.000922	65.6
181	-0.068351	26.658385	27.761107	0.001326	69.1
182	-0.066379	27.658256	27.190648	0.001338	69.5
183	-0.070592	28.658256	26.643093	0.001480	71.5
184	-0.067118	29.658256	26.117155	0.001482	67.7
185	-0.064830	30.658256	25.611579	0.002006	69.8
186	-0.066481	31.658256	25.125206	0.000587	72.1
187	-0.068452	32.658256	24.656961	0.001227	67.0
188	-0.065412	31.858256	25.030139	0.000723	71.4
189	-0.068129	32.858256	24.565398	0.000853	69.2
190	-0.066194	33.858256	24.117601	0.000699	71.7
191	-0.069676	34.858256	23.685836	0.001579	72.3
192	-0.067450	35.858256	23.269260	0.000907	66.0
193	-0.069451	36.858256	22.867083	0.001233	66.9
194	-0.066662	37.858256	22.478572	0.000430	72.3
195	-0.068587	37.068939	22.784118	0.001208	77.0
196	-0.064772	38.068939	22.398397	0.001016	67.7
197	-0.071862	37.268939	22.705914	0.001065	68.1
198	-0.069260	38.268939	22.322815	0.000669	64.8
199	-0.069300	39.268939	21.952428	0.001365	70.8
200	-0.071826	40.268939	21.594132	0.000882	68.7
201	-0.069086	41.268939	21.247343	0.000977	68.3
202	-0.064828	40.468939	21.523871	0.002165	68.1
203	-0.066247	41.468939	21.179318	0.001265	70.0
204	-0.065839	42.468939	20.845622	0.001929	72.3
205	-0.066338	41.668939	21.111727	0.002344	69.4
206	-0.072047	42.668939	20.780141	0.001224	69.5
207	-0.065667	43.668939	20.458810	0.001201	71.7
208	-0.066749	42.868939	20.715070	0.001429	69.4
209	-0.068570	43.683103	20.454330	0.001236	66.4
210	-0.067371	42.901177	20.704619	0.002325	70.3
211	-0.069701	42.101177	20.967113	0.001186	72.1
212	-0.065757	41.301177	21.236349	0.001320	71.1
213	-0.063349	40.501177	21.512589	0.000685	73.0
214	-0.069256	39.786257	21.765603	0.001002	72.3
215	-0.065939	40.786257	21.413330	0.001748	68.5
216	-0.067586	41.786257	21.072279	0.001071	69.3
217	-0.069827	40.986257	21.344240	0.000812	70.0
218	-0.065262	41.986229	21.005378	0.001281	72.3
219	-0.065342	41.186230	21.275603	0.001787	72.3
220	-0.067804	42.186230	20.938890	0.000493	70.7
221	-0.068653	43.186230	20.612669	0.001284	70.7
222	-0.068336	42.388217	20.872168	0.000950	85.6
223	-0.066146	43.388217	20.548007	0.001308	67.0
224	-0.067334	44.388217	20.233761	0.001282	65.8
225	-0.070461	45.388217	19.928981	0.002160	79.7
226	-0.065804	46.388217	19.633247	0.000846	71.2
227	-0.067013	45.588217	19.869124	0.001664	68.2
228	-0.066250	46.588217	19.575151	0.000932	69.8
229	-0.062652	45.788217	19.809625	0.001323	72.8
230	-0.067321	46.788217	19.517397	0.001659	70.8
231	-0.067230	45.988217	19.750481	0.000614	70.9
232	-0.068101	45.188240	19.989193	0.000607	67.8
233	-0.070226	46.186311	19.692248	0.001347	71.9
234	-0.072065	45.386314	19.929552	0.001397	71.1
235	-0.068874	46.386314	19.633802	0.000957	70.5
236	-0.071675	47.385809	19.346843	0.001175	70.7
237	-0.068525	48.385809	19.068013	0.000933	65.9
238	-0.069932	47.708890	19.255871	0.000809	69.8
239	-0.063552	48.708890	18.979638	0.001302	71.2
240	-0.065478	47.908890	19.199983	0.001360	68.7
241	-0.068335	47.108890	19.425504	0.001341	69.8
242	-0.064765	46.308890	19.656386	0.001119	70.4
243	-0.068845	47.308890	19.368629	0.001414	68.2
244	-0.066881	48.250758	19.105199	0.001428	70.8
245	-0.069156	49.250758	18.833242	0.001162	67.4
246	-0.065416	50.250758	18.568919	0.001274	72.4
247	-0.067729	49.450758	18.779777	0.002335	69.8
248	-0.068318	50.450758	18.516942	0.001176	65.8
249	-0.071771	51.450758	18.261362	0.000881	69.8
250	-0.066162	52.450758	18.012742	0.001105	69.8
251	-0.067003	51.650881	18.211060	0.000937	66.3
252	-0.068524	52.650881	17.963798	0.001008	70.8
253	-0.068660	53.650881	17.723160	0.001258	72.0
254	-0.063478	54.650881	17.488885	0.001084	67.0
255	-0.067795	53.850881	17.675804	0.000724	67.2
256	-0.067288	54.850876	17.442772	0.001868	72.3
257	-0.064506	54.050876	17.628702	0.001312	70.3
258	-0.068847	55.050876	17.396900	0.000868	69.9
259	-0.067130	56.050876	17.171116	0.000948	69.2
260	-0.066805	57.050876	16.951117	0.001309	70.3
261	-0.068362	56.250876	17.126660	0.001691	72.2
262	-0.066907	57.250876	16.907792	0.000965	70.1
263	-0.067924	58.250876	16.694447	0.001120	71.0
264	-0.067690	59.250815	16.486431	0.001163	69.5
265	-0.066322	60.250815	16.283523	0.001003	69.1
266	-0.066020	61.250815	16.085549	0.002137	69.8
267	-0.064197	60.450815	16.243539	0.001645	68.4
268	-0.067896	61.450815	16.046531	0.001765	71.3
269	-0.069089	62.358754	15.871753	0.000872	66.6
270	-0.067371	61.558765	16.025549	0.001495	69.6
271	-0.071107	62.558765	15.833761	0.000550	71.0
272	-0.066969	63.558701	15.646521	0.001368	68.2
273	-0.068818	62.823776	15.783702	0.000764	65.6
274	-0.063378	62.023776	15.935791	0.001050	70.6
275	-0.070137	63.023776	15.746133	0.000844	74.3
276	-0.067566	64.023776	15.560936	0.001251	67.6
277	-0.066385	63.404964	15.675020	0.001808	70.6
278	-0.067943	64.404964	15.491483	0.000862	68.8
279	-0.070765	65.397887	15.313448	0.000966	69.4
280	-0.066020	66.397851	15.138239	0.001698	69.2
281	-0.066882	67.397252	14.967089	0.001471	71.7
282	-0.068237	68.397252	14.799667	0.000810	72.9
283	-0.063935	67.597289	14.933296	0.000965	68.3
284	-0.065578	68.597289	14.766625	0.000781	72.0
285	-0.069272	67.797289	14.899661	0.000938	69.7
286	-0.068146	67.326708	14.979043	0.000957	68.3
287	-0.065685	68.326708	14.811354	0.001472	71.8
288	-0.068253	69.326708	14.647379	0.001644	70.8
289	-0.066136	70.326708	14.486995	0.001708	70.2
290	-0.066710	71.326708	14.330085	0.001218	67.7
291	-0.067447	72.326708	14.176537	0.000843	67.1
292	-0.068016	71.526708	14.299110	0.002248	69.6
293	-0.068975	72.526708	14.146222	0.001376	69.9
294	-0.065868	73.526708	13.996568	0.000995	68.7
295	-0.069096	72.727164	14.115967	0.000794	69.4
296	-0.070355	71.927184	14.237487	0.001286	68.9
297	-0.065898	71.127184	14.361120	0.001443	69.9
298	-0.069797	72.127184	14.206910	0.001239	70.6
299	-0.070416	73.127184	14.055977	0.001460	69.5
300	-0.064763	74.127184	13.908217	0.000864	70.8
301	-0.067637	75.127184	13.763532	0.001295	70.2
302	-0.070113	76.127184	13.621825	0.001898	68.0
303	-0.065772	77.127184	13.483007	0.001375	70.8
304	-0.066809	78.127184	13.346990	0.001659	68.3
305	-0.066169	79.127184	13.213690	0.000441	71.9
306	-0.071071	80.127184	13.083026	0.001659	69.0
307	-0.066688	81.127177	12.954921	0.001654	69.6
308	-0.072450	82.127177	12.829300	0.000785	67.7
309	-0.067070	83.127177	12.706092	0.001315	72.0
310	-0.066462	82.327177	12.804468	0.001161	68.4
311	-0.070762	83.327177	12.681734	0.000908	71.0
312	-0.066138	84.327177	12.561331	0.000629	69.6
313	-0.072391	85.327177	12.443192	0.001029	70.7
314	-0.066614	86.327177	12.327255	0.001509	66.1
315	-0.065348	85.527177	12.419831	0.000528	69.0
316	-0.068613	84.727197	12.513805	0.001005	70.6
317	-0.068288	85.727197	12.396555	0.000643	70.3
318	-0.065566	86.726512	12.281559	0.000787	71.9
319	-0.067956	86.404660	12.318362	0.001710	70.8
320	-0.067650	85.604660	12.410804	0.000503	67.0
321	-0.068569	86.604660	12.295467	0.000892	68.1
322	-0.066613	87.494893	12.194579	0.001042	67.8
323	-0.067169	88.494893	12.083208	0.001348	68.5
324	-0.068361	89.494893	11.973852	0.000728	67.6
325	-0.064647	88.694893	12.061177	0.001333	70.2
326	-0.069666	87.894893	12.149785	0.001235	67.3
327	-0.069785	88.894893	12.039227	0.002002	67.6
